True Labels,Predicted Labels,Original Overviews
"Adventure, Comedy, Science Fiction","Action, Adventure, Animation, Science Fiction","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them."
"Action, Science Fiction, Thriller","Action, Science Fiction, Thriller","The lethal Reaper virus spreads throughout Britain—infecting millions and killing hundreds of thousands. Authorities brutally and successfully quarantine the country but, three decades later, the virus resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare."
"Action, Drama","Drama, History, War","Sentenced to spend out the rest of his adult life laboring in the harsh deserts of Egypt, the Thracian slave Spartacus gets a new lease on life when he is purchased by the obese owner of a Roman gladiator school. Moved by the defiance of an Ethiopian warrior, Draba, Spartacus leads a slave uprising which threatens Rome's status quo. As Spartacus gains sympathy within the Roman Senate, he also makes a powerful enemy in form of Marcus Lucinius Crassus, who makes it a matter of personal honor to crush the rebellion."
"Action, Thriller","Action, Crime, Drama, Thriller","When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals."
"Horror, Thriller","Horror, Thriller",A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.
"Action, Thriller","Crime, Drama, Thriller","After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub — and soon learns his sibling's death wasn’t an accident."
"Drama, Thriller",Comedy,"When Ruby and Rhett's parents are killed in a car accident, their carefree teenage lives are suddenly shattered. Moving to an incredible house in Malibu with the Glasses', old friends of the family, seems to be the beginning of a new life for them."
"Comedy, Drama, History",Drama,"The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects."
"Action, Drama, Science Fiction, Thriller","Action, Science Fiction, Thriller","Tov Matheson is a war veteran with PTSD who perceives that the apocalypse is coming. After starting a relationship with a dubious Messiah, he leaves his normal life and begins the construction of a shelter underground, training himself, in an extreme way, at the cost of losing everything and making people believe he is insane. When he also believes it, something extraordinary happens."
"Adventure, Animation, Family","Action, Adventure, Animation, Comedy, Fantasy","The film starts with Gian seeing some like spirit and it asks him to accomplish a task. The story starts when a stray dogs are searching some foods in the can. Then a dirty white dog comes out of nowhere. Just then, the dog creates a close stare to the stray dogs and forces to run away. But the dog is disappointed that he doesn't know what to do after searching the garbage, under the pouring rain. After that, Suneo starts saying about the discoverable places on Earth and him and Gian are totally disappointed about that. That then, they are asking favor to Nobita to take them to an undiscovered place to be seen by their naked eyes. Nobita refuses but tells he will try his best. He comes to upstairs to explain Doraemon what the problem is now."
"Action, Adventure, Animation, Comedy","Action, Adventure, Animation, Fantasy","The glittering Gran Tesoro, a city of entertainment beyond the laws of the government, is a sanctuary for the world’s most infamous pirates, Marines, and filthy rich millionaires. Drawn by dreams of hitting the jackpot, Captain Luffy and his crew sail straight for the gold. But behind the gilded curtains lies a powerful king whose deep pockets and deeper ambitions spell disaster for the Straw Hats and the New World alike."
Animation,"Adventure, Animation, Comedy, Family, Fantasy",Tink challenges Gelata to see who can bake the best cake for the queen's party.  Plus 10 Disney Fairies Mini-Shorts:  - Just Desserts  - If The Hue Fits  - Dust Up  - Scents And Sensibility  - Just One Of The Girls  - Volleybug  - Hide And Tink  - Rainbow's Ends  - Fawn And Games  - Magic Tricks
Horror,"Drama, Horror, Mystery, Thriller",A young mother and her twin sons move into a rural house that's marked for death.
"Comedy, Family","Drama, Romance","A financial executive who can't stop his career downspiral is invited into his daughter's imaginary world, where solutions to his problems await."
Thriller,"Crime, Drama, Mystery, Thriller","Two strangers strike up a conversation on a long journey. One is a suspect in an unsolved missing person’s case and the other an undercover operative on his trail. Their uneasy friendship becomes the core of this tightly wrought thriller, which is based on the true story of one of the largest investigations and undercover operations in Australia."
"Action, Adventure, Comedy, Horror, Science Fiction, TV Movie","Action, Science Fiction, Thriller","A freak hurricane hits Los Angeles, causing man-eating sharks to be scooped up in tornadoes and flooding the city with shark-infested seawater. Surfer and bar-owner Fin sets out with his friends Baz and Nova to rescue his estranged wife April and teenage daughter Claudia."
"Adventure, Animation, Comedy, Family, Romance","Drama, Thriller","Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything."
"Action, Fantasy","Adventure, Animation, Comedy, Fantasy","An ordinary guy suddenly finds he has superpowers he can use to help his spirited daughter and the people around them, but he also runs into trouble in the process."
